"à";"interrogative particle; initial particle";2 13
"Cuốn này bán thế nào đây?";"How much is this book?";11
"Lấy anh 50 nghìn";"I’ll take 50,000 dong (from you).";11
"lấy chồng";"to get married (speaking of a woman)";7
"lấy đồng hồ";"to set one’s watch";7
"lấy vợ";"to get married (speaking of a man)";7
"lẻ";"and (particle for numbers)";5
"len";"wool";11
"lê";"pear";2
"lên";"to go up; to reach a certain age (speaking of children)";8 7
"lên cao";"to rise";14
"lên gác";"to go upstairs";8
"lịch";"calendar";5
"lịch sử";"history";7
"liên doanh";"to have a joint venture";13
"linh";"and (particle for numbers)";5
"lít";"liter";14
"lo";"to worry, be worried";1 3
"loại";"kind, type";10
"lon";"can (of beer, soda pop)";11
"lối";"way (used for directions)";10
"lỗi";"error, mistake";8
"lời";"word";10
"lớn";"big";2
"lớp";"class";3
"lúa";"rice (the plant in paddies)";13
"lúa nước";"rice grown in flooded paddy fields, wet-rice";13
"lụa";"silk";11
"luận án";"thesis, dissertation";7
"luật";"law";11
"luật sư";"lawyer";13
"lúc";"moment; temporal preposition";6
"lúc ấy";"at that time";8
"lúc đầu";"at first";13
"luộc";"to boil";13
"lụt";"flood, flooding";14
"lươn";"eel";13
"lượng";"amount";13
"mà";"but; in order to; relative pronoun and adverb";9 14
"má";"mother";4
"mang";"to carry; wear";8 11
"mang tên";"to be named for";8
"mạnh";"strong";13
"mát";"fresh and cool";13
"mát mẻ";"pleasantly cool (reduplicative)";14
"máy ảnh";"camera";14
"máy bay";"airplane";3
"máy vi tính";"computer";14
"mặc";"to wear";11
"mặc cả";"to bargain";11
"mà cả";"to bargain";11
"mặc dù";"though, although";13
"mắm";"salted seafood";13
"mắt";"eye";10
"mặt hàng";"item, article for sale";11
"mây";"cloud";14
"mấy hôm nay";"these days, in recent days";14
"mất";"to take time to do something";9
"mất bao lâu?";"how long does it take?";9
"màu";"color";2
"mầu";"color";2
"mấy?";"how many?";4
"mấy";"a few";2
"mấy giờ?";"what time?";6
"mẹ";"mother";1
"mèo";"cat";2
"mét";"meter";14
"mệt";"to be tired";9
"mì";"wheat noodles";13
"mía";"sugar cane";13
"nước mía";"sugar cane juice";13
"miền";"region, zone";10
"miến";"glass noodles";13
"mình";"I";4 3
"mít tinh";"rally";10
"mọi";"every";13
"mọi người";"everyone, everybody";13 12
"món";"dish";8
"mong";"to expect, hope";12
"Mong thư của anh";"I am looking forward to hearing from you soon";12
"mỗi";"every, each";12
"mỗi lúc một";"more and more";13
